Interval=	0.005 s
ExcelDateTime=	4.2844669800012722e+004	19/04/2017 16:04:30.721099
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Membrane Potential	Output Pulse
Range=	1000.0 mV	10.000 V
UnitName=	mV	*
TopValue=	99.5	*
BottomValue=	-99.4	*
623.19	-14.8	-0.000
623.195	-14.7	-0.001
623.2	-14.7	0.000
623.205	-14.8	-0.001
623.21	-14.9	-0.001
623.215	-14.7	-0.000
623.22	-14.6	0.000
623.225	-14.8	-0.001
623.23	-14.9	-0.000
623.235	-14.7	-0.000
623.24	-14.7	-0.001
623.245	-14.9	0.000
623.25	-14.9	-0.000
623.255	-14.7	-0.000
623.26	-14.7	-0.001
623.265	-14.9	-0.001
623.27	-14.9	-0.001
623.275	-14.7	-0.000
623.28	-14.7	-0.001
623.285	-14.9	0.000
623.29	-14.9	-0.000
623.295	-14.7	-0.001
623.3	-14.7	-0.000
623.305	-14.9	-0.000
623.31	-14.9	-0.000
623.315	-14.7	0.000
623.32	-14.7	-0.000
623.325	-14.9	0.000
623.33	-14.9	0.001
623.335	-14.7	-0.000
623.34	-14.7	-0.001
623.345	-14.9	-0.000
623.35	-14.9	0.000
623.355	-14.7	-0.001
623.36	-14.7	0.000
623.365	-14.9	-0.000
623.37	-14.9	-0.000
623.375	-14.7	-0.000
623.38	-14.7	-0.001
623.385	-14.9	-0.001
623.39	-14.9	0.000
623.395	-14.7	-0.000
623.4	-14.7	-0.001
623.405	-14.9	0.000
623.41	-14.9	-0.000
623.415	-14.7	-0.001
623.42	-14.7	-0.001
623.425	-14.8	0.000
623.43	-14.8	-0.000
623.435	-14.6	-0.001
623.44	-14.7	-0.001
623.445	-14.8	-0.000
623.45	-14.8	-0.000
623.455	-14.6	-0.001
623.46	-14.6	-0.000
623.465	-14.8	-0.001
623.47	-14.8	-0.001
623.475	-14.6	0.000
623.48	-14.6	0.000
623.485	-14.8	-0.000
623.49	-14.8	-0.000
623.495	-14.6	-0.001
623.5	-14.6	5.119
623.505	-14.8	-0.001
623.51	-14.8	-0.000
623.515	-14.6	-0.000
623.52	-14.6	0.000
623.525	-14.8	-0.000
623.53	-14.8	0.000
623.535	-14.6	-0.001
623.54	-14.6	-0.000
623.545	-14.8	-0.001
623.55	-14.9	0.000
623.555	-14.7	-0.000
623.56	-14.7	-0.000
623.565	-14.9	0.000
623.57	-14.8	0.000
623.575	-14.6	-0.000
623.58	-14.6	0.000
623.585	-14.8	-0.001
623.59	-14.8	-0.001
623.595	-14.6	0.000
623.6	-14.6	-0.000
623.605	-14.8	-0.000
623.61	-14.8	-0.000
623.615	-14.6	0.000
623.62	-14.6	-0.001
623.625	-14.8	-0.000
